text,sentiment
"Немного суетливо",1
"Неожиданно долго",1
"В принципе норм",1
"Чуть дольше, чем ожидал",1
"Работа выполнена, но не идеально",1
"Средняя оценка",1
"Не совсем быстро",1
"Без восторгов",1
"Есть недочеты",1
"Могло быть и хуже",1
"Среднее впечатление",1
"Процесс затянулся",1
"Выглядит нормально",1
"Чисто средний результат",1
"Не совсем доволен",1
"Ожидания не полностью оправданы",1
"Не слишком быстро",1
"Есть мелкие проблемы",1
"В следующий раз выберу другое место",1
"Долгие ожидания",1
"Нормально, но не идеально",1
"Выглядит приемлемо",1
"Все ок, но медленно",1
"Немного разочарован",1
"Услуга оказана, но долго",1
"Обычное впечатление",1
"Было терпимо",1
"Приняли нормально",1
"Долго выполняли работу",1
"Обычное качество",1
"Не очень быстро",1
"Средне",1
"Просто нормально",1
"Ждал больше времени, чем рассчитывал",1
"Нормально, но могло быть лучше",1
"Сервис требует доработки",1
"Претензий нет, но и восторга тоже",1
"Все без изысков",1
"Работа сделана, но не идеально",1
"Задержка при выполнении",1
"Больше нейтральных эмоций",1
"Не слишком эффективно",1
"Средний уровень сервиса",1
"Сложилось среднее впечатление",1
"Ожидал большего качества",1
"Результат на троечку",1
"Чуть лучше, чем ничего",1
"Не лучший опыт",1
"Время ожидания затянуто",1
"Работа выполнена с огрехами",1
"Процесс был долгим",1
"Все в рамках нормы",1
"Более-менее приемлемо",1
"Медленно, но уверенно",1
"Услуга предоставлена, но не без проблем",1
"Вроде неплохо, но долго",1
"Работают медленно",1
"Среднее впечатление от визита",1
"Долгое обслуживание",1
"Требуется ускорение процессов",1
"Уровень обслуживания средний",1
"В общем, сойдет",1
"Могли бы быть оперативнее",1
"Больше нейтральных эмоций, чем положительных",1
"В целом нормально, но долго",1
"Средний сервис без особых проблем",1
"Немного затянули с выполнением",1
"Работа выполнена, но неидеально",1
"Не самые лучшие впечатления",1
"Можно было бы поработать над качеством",1
"Результат приемлемый, но ожидал большего",1
"Много мелких недочетов",1
"Ужасный сервис",0
"Катастрофическое обслуживание",0
"Больше никогда не приду",0
"Потраченные зря деньги",0
"Очень недоволен",0
"Крайне разочарован",0
"Сервис отвратительный",0
"Работают ужасно",0
"Никому не советую",0
"Сплошные проблемы",0
"Ужасная организация",0
"Очень плохой опыт",0
"Всё сделали ужасно",0
"Просто кошмар",0
"Некомпетентный персонал",0
"Полный бардак",0
"Работают медленно и плохо",0
"Слишком долго и некачественно",0
"Ужасная задержка",0
"Грубое обслуживание",0
"Безответственное отношение",0
"Полная некомпетентность",0
"Работа на нуле",0
"Отвратительное отношение",0
"Полное разочарование",0
"Услуга оказана плохо",0
"Очень долгая работа",0
"Бесконечные ошибки",0
"Работа некачественная",0
"Проблемы на каждом шагу",0
"Грубость и хамство",0
"Жуткий сервис",0
"Безобразное обслуживание",0
"Кошмарный опыт",0
"Ужасный персонал",0
"Плохое качество",0
"Работа выполнена ужасно",0
"Очень низкий уровень",0
"Ужасно медленно",0
"Грубый персонал",0
"Отвратительный опыт",0
"Просто ужас",0
"Никакого сервиса",0
"Проблемы с самого начала",0
"Не оправдали ожиданий",0
"Катастрофа",0
"Сотрудники не обучены",0
"Всё ужасно организовано",0
"Потерянное время",0
"Очень недоброжелательные",0
"Ужасный результат",0
"Полный провал",0
"Ужасно всё",0
"Плохо всё организовано",0
"Слишком много ошибок",0
"Крайне неудовлетворительно",0
"Ужасное отношение к клиентам",0
"Полный беспорядок",0
"Некомпетентность полная",0
"Откровенно плохая работа",0
"Никакого профессионализма",0
"Работают очень плохо",0
"Крайне разочарован обслуживанием",0
"Никогда больше сюда",0
"Отвратительно",0
"Худший сервис",0
"Безобразная работа",0
"Работа через пень-колоду",0
"Неумелые сотрудники",0
"Очень плохо",0
"Работают спустя рукава",0
"Тратят чужое время",0
"Бесполезный визит",0
"Ужасная скорость работы",0
"Неуважение к клиенту",0
"Сервис отсутствует",0
"Очень грубые сотрудники",0
"Жуткая задержка",0
"Просто издевательство",0
"Ошибка на ошибке",0
"Отвратительное место",0
"Крайне недоволен сервисом",0
"Обслуживание ниже всякой критики",0
"Нет слов от возмущения",0
"Потраченное зря время",0
"Полное непонимание клиента",0
"Неадекватное обслуживание",0
"Отвратительный сервис",0
"Провал",0
"Категорически не советую",0
"Жуткий уровень сервиса",0
"Самое ужасное обслуживание",0
"Полное разочарование, зря потратил время",0
"Не советую обращаться сюда",0
"Ужасное качество услуг",0
"Хамское отношение персонала",0
"Ошибки на каждом этапе работы",0
"Бесконечные очереди и путаница",0
"Полный игнор клиентов",0
"Ужасная организация процесса",0
"Всё супер, быстро и качественно!",2
"Очень доволен, вернусь ещё!",2
"Профессионалы своего дела!",2
"Отличное качество услуг!",2
"Быстро, четко, без проблем!",2
"Прекрасный сервис, рекомендую!",2
"Спасибо за замечательную работу!",2
"Обслуживание на высоте!",2
"Сделали всё идеально!",2
"Невероятно приятный опыт!",2
"Очень внимательные сотрудники!",2
"Всё прошло без единой заминки!",2
"Лучший сервис, с которым сталкивался!",2
"Прекрасная работа, спасибо!",2
"Очень доволен всем процессом!",2
"Всё организовано идеально!",2
"Впечатлен качеством и скоростью!",2
"Персонал вежливый и профессиональный!",2
"Работают на результат!",2
"Сервис оставил только положительные эмоции!",2
"Очень довольна обслуживанием! Всё сделали быстро и качественно. Персонал был очень вежлив. Обязательно приду ещё!",2
"Отличный опыт! Менеджеры все подробно объяснили, помогли с выбором. Остались только положительные эмоции!",2
"Хочу выразить благодарность всей команде! Очень быстро и профессионально решили мой вопрос. Было приятно работать!",2
"Отличная организация процесса! Запись по времени, быстрое обслуживание и вежливое общение. Приятно удивлен.",2
"Всё прошло просто замечательно. Персонал был внимателен к каждому мелкому запросу. Очень приятно!",2
"Сервис оправдал все мои ожидания. Удобная система записи, быстрая работа, высокое качество услуг!",2
"Все прошло на отлично! Удобная консультация, быстрая помощь и отличный результат!",2
"Очень понравился сервис. Всё чётко, быстро и с заботой о клиенте. Видно, что ценят своё дело.",2
"Рекомендую всем, кто ценит своё время и нервы. Здесь умеют работать быстро и качественно!",2
"Настоящее удовольствие — обращаться сюда! Прекрасное качество работы и отличный подход.",2
"Организация на высоте: быстро, чисто и профессионально. Видно заботу о клиентах.",2
"Я приятно удивлена! Всё прошло быстро, без суеты и с улыбкой.",2
"Идеальный сервис. Вежливый персонал, комфортные условия, быстрое решение всех вопросов.",2
"Обращался впервые и остался очень доволен! Приятно удивлен качеством и вниманием.",2
"Очень хороший опыт. Всё сделали в срок, аккуратно, никаких претензий.",2
"Отличный сервис! Персонал внимательный, работают быстро и качественно. Всем доволен.",2
"Отличная работа! Очень вежливый коллектив, быстро и профессионально справились с задачей.",2
"Превосходный сервис! Удобная запись, доброжелательный персонал, работа без единой ошибки.",2
"Прекрасное отношение к клиентам. Всё сделано четко, без задержек, с заботой.",2
"Всё понравилось. Быстро, удобно, профессионально. Приду ещё раз.",2
"От всей души хочу поблагодарить команду за потрясающий сервис. С момента записи всё прошло четко: подтвердили время, напомнили за день до визита, встретили вежливо и с улыбкой. Работы выполнены быстро и качественно. Чувствуется профессионализм каждого сотрудника. Очень приятно, что в наше время можно встретить такой уровень обслуживания!",2
"Прекрасный опыт! С самого начала и до конца всё было на высоте: быстрое оформление заявки, консультация по всем вопросам, индивидуальный подход. Специалист уделил внимание каждому нюансу, ответил на все вопросы. Работа выполнена аккуратно и в оговоренные сроки. Обязательно буду обращаться снова и рекомендовать друзьям.",2
"Обслуживание превзошло все мои ожидания. Приятная атмосфера, компетентные специалисты, быстрое и качественное выполнение работ. Дополнительно порадовали комфортные условия ожидания и доброжелательность сотрудников. Видно, что здесь ценят своих клиентов. Спасибо огромное за великолепный сервис!",2
"Обратился сюда по рекомендации знакомого и остался в полном восторге. Всё — от консультации до финального результата — прошло просто идеально. Приятные сотрудники, удобная система записи, своевременное выполнение работы. Профессиональный подход чувствуется с первых минут общения. Спасибо огромное всей команде!",2
"Замечательный сервис! Менеджер связался со мной сразу после оставления заявки. Всё четко объяснили, рассказали о процессе и ценах. Назначили удобное время, сделали работу качественно и без нареканий. Очень приятно работать с профессионалами, которые заботятся о клиентах. Рекомендую от души!",2
"Быстро, четко и профессионально! Очень довольна результатом. Особая благодарность специалисту за терпение и индивидуальный подход. Всё объяснили, все мои просьбы учли. Сделали даже лучше, чем я ожидала! Настоящие профессионалы своего дела!",2
"Отличное место, куда хочется возвращаться! Сотрудники очень вежливые, улыбчивые, объясняют каждую деталь. Работа выполнена на высочайшем уровне. Обстановка приятная, ничего лишнего. Чувствуется профессиональный подход и забота о клиенте.",2
"Хочу отметить не только высокое качество работы, но и удивительную атмосферу. Всё организовано очень грамотно: быстрое оформление, вежливые сотрудники, чёткая работа по графику. Работа выполнена идеально. Приятно удивлена такой ответственностью!",2
"Рад, что выбрал именно их! С самого начала поддерживали обратную связь, чётко координировали все этапы. В процессе учли все мои пожелания. Работа сделана качественно и быстро. Большое спасибо за профессионализм!",2
"Очень приятный опыт! Всё прошло быстро и качественно. Порадовало внимание к деталям, аккуратность в работе и уважительное отношение к клиенту. Здесь действительно работают профессионалы. Спасибо большое!",2
"Всё неплохо, но можно лучше.",1
"В целом нормально, но есть нюансы.",1
"Средний сервис, без восторга.",1
"Было нормально, но долго.",1
"Обычный уровень обслуживания.",1
"Не всё понравилось, но сделали.",1
"Можно было быстрее.",1
"Работа выполнена, но без энтузиазма.",1
"Приемлемо, но не идеально.",1
"Вроде хорошо, но есть замечания.",1
"Не понравилось ожидание.",1
"Всё сделали, но с ошибками.",1
"Было комфортно, но немного затянуто.",1
"Вежливо, но без особой вовлеченности.",1
"Качество нормальное, но не отличное.",1
"Есть куда расти.",1
"Немного хаотично, но справились.",1
"Работа сделана, но без лишнего старания.",1
"Скорость устраивает, качество среднее.",1
"Не всё идеально, но в целом сойдёт.",1
"Обслуживание нормальное, но ожидание заняло больше времени, чем обещали. Качеством доволен, но хотелось бы быстрее. Надеюсь, в будущем улучшат организацию.",1
"Сервис оставил смешанные впечатления. Сотрудники вежливые, но не очень внимательные к деталям. В следующий раз подумаю, обращаться ли сюда снова.",1
"Работа выполнена корректно, но в процессе пришлось несколько раз напоминать о мелочах. В принципе, результат удовлетворительный.",1
"Всё прошло терпимо. Никаких серьёзных проблем не было, но общение оставило ощущение равнодушия. Ожидал чуть большего.",1
"Услуга оказана, но сопровождалась некоторыми недочётами. Вопросы решались неохотно. Результат устраивает частично.",1
"Время ожидания было значительно больше заявленного. Результат работы удовлетворил, но не более того. Надеюсь на улучшения.",1
"Процесс обслуживания показался слишком медленным. Конечный результат неплохой, но эмоций положительных не осталось.",1
"Коммуникация с клиентом оставляет желать лучшего. Работы выполнены, но возникали мелкие недоразумения.",1
"Сервис можно назвать средним: без явных ошибок, но и без стремления к лучшему результату.",1
"Вроде бы всё сделали, но по ощущениям — на 'отстань'. Без особого желания помочь.",1
"Качество нормальное, но сервису не хватает внимания к клиентам. Персонал вежливый, но без энтузиазма.",1
"Результат работы устраивает частично. Процесс получения услуги мог бы быть более организованным.",1
"Отзыв скорее нейтральный: есть плюсы и минусы. Откровенных недочетов нет, но без восторга.",1
"Услуга оказана, но ощущения, что мне рады, не возникло. В следующий раз подумаю, стоит ли обращаться.",1
"Работа сделана, но впечатление смазанное. Нет ощущения заботы о качестве.",1
"По срокам уложились, но качество оставляет вопросы. Хотелось бы большего внимания к деталям.",1
"Всё сделали, но отношение к клиенту формальное. Сервис без души.",1
"Процесс оформления услуги занял больше времени, чем ожидал. Конечный результат приемлемый.",1
"Много времени на оформление, результат средний. Обслуживание обычное.",1
"Сервис мог бы быть намного лучше при небольших усилиях со стороны персонала.",1
"Обращался за услугой, и в целом результат удовлетворительный. Однако процесс был не самый приятный: длительное ожидание, неразбериха с бумагами и не особо дружелюбное отношение сотрудников. Ощущение, что персонал работает по инерции. Конечный результат устроил, но эмоций от взаимодействия не осталось.",1
"Процесс обслуживания оставил двоякие впечатления. На первый взгляд, всё организовано: запись, приём, консультация. Однако в ходе выполнения работы проявились мелкие недочеты, требовавшие доработки. Приятного в этом мало. В будущем хотелось бы большего профессионализма и внимательности.",1
"Сервис оставил неоднозначные впечатления. Персонал вежливый, но не проявил заинтересованности. Работу выполнили на базовом уровне, но никаких попыток сделать лучше или комфортнее для клиента я не увидел. Скорее всего, повторно обращаться сюда не стану.",1
"Обратился сюда по совету знакомых. В целом услугу оказали, но скорость и внимательность оставляют желать лучшего. Ожидание оказалось дольше обещанного, а процесс оформления довольно хаотичным. Хотелось бы видеть больше уважения к клиентскому времени.",1
"Всё сделали, но общее впечатление испортило долгое ожидание и отсутствие обратной связи на каждом этапе работы. Приходилось самостоятельно уточнять статус заказа. Качество конечного результата устраивает, но из-за недостатка коммуникации желания возвращаться нет.",1
"Оказанная услуга на уровне «средненько». Работники были вежливы, но видно, что устали или не заинтересованы. Заказ выполнили с задержкой, дополнительно ничего не предложили. Впечатление от сервиса — равнодушное.",1
"Сам сервис, возможно, и неплохой, но организация процесса сильно подводит. Обслуживание шло долго, было много мелких заминок. Окончательный результат более-менее устроил, но без желания вернуться снова.",1
"Не могу сказать, что недоволен, но и положительных эмоций не испытал. Всё прошло сухо, стандартно. Работу выполнили формально, без дополнительных усилий. Такое чувство, что клиент — это просто очередная галочка в списке.",1
"Получил ожидаемую услугу, но качество оставляет желать лучшего. Отсутствие обратной связи, длительное ожидание — всё это испортило общее впечатление. На фоне конкурентов смотрится слабовато.",1
"Обслуживание было стандартным, без ярких моментов. Персонал старался соблюдать правила, но ощущение равнодушия всё же чувствовалось. Качество работы соответствует минимальным требованиям.",1
"Ужасный сервис, больше не приду.",0
"Потеря времени и денег.",0
"Хуже обслуживания не встречал.",0
"Очень разочарован, не рекомендую.",0
"Полный бардак и некомпетентность.",0
"Отношение к клиенту отвратительное.",0
"Работу испортили, результат ужасный.",0
"Не советую никому!",0
"Сервис ниже всех ожиданий.",0
"Сотрудники грубые и безразличные.",0
"Больше туда ни ногой!",0
"Постоянные ошибки и задержки.",0
"Обслуживание отвратительное.",0
"Полнейшее безразличие к клиентам.",0
"Испортили настроение на весь день.",0
"Жалею, что выбрал этот сервис.",0
"Крайне непрофессиональный подход.",0
"Ужасная организация процесса.",0
"Сервис на нуле.",0
"Пустая трата времени.",0
"Очень неприятный опыт. Персонал грубый и некомпетентный. На элементарный вопрос ответить не смогли. Потратил кучу времени зря.",0
"Сервис ужасный! Опоздали на встречу, работали медленно и небрежно. Видно, что клиент для них ничего не значит.",0
"Процесс настолько плохо организован, что пришлось ждать в очереди два часа. Никому не рекомендую!",0
"Грубость сотрудников и наплевательское отношение к деталям оставили крайне негативное впечатление. Никогда больше сюда не обращусь.",0
"Обещали одно, а на деле получили совсем другое. Полнейшая несерьёзность и безответственность.",0
"Ужасный опыт! Всё сделано небрежно, к моим замечаниям относились с раздражением. Придётся переделывать у других.",0
"Качество услуг отвратительное. Видимо, для них качество работы — пустой звук. Очень расстроен.",0
"Очень неорганизованная работа. Постоянные ошибки, никаких извинений. Абсолютная безответственность.",0
"Сервис оставляет желать лучшего. Хамское поведение сотрудников просто поражает. Категорически не советую.",0
"Плохая коммуникация, медленная работа и испорченное имущество. Полнейший провал.",0
"Обещали сделать за день — растянули на неделю. Никакой ответственности перед клиентами.",0
"Отвратительная работа! Потратил массу нервов и времени. Никому не рекомендую связываться.",0
"Никогда не сталкивался с таким пренебрежением. Даже элементарные задачи выполнить не смогли.",0
"Очень разочарован. Сервис оставляет после себя только негатив. Деньги выброшены на ветер.",0
"Хуже обслуживания трудно представить. Работают абы как, ответственности ноль.",0
"Бесполезная трата времени и нервов. Все сроки нарушены, отношение хамское.",0
"Сотрудники некомпетентные и грубые. Работу испортили, никаких извинений не последовало.",0
"Самое ужасное обслуживание за долгое время. Качество работ ниже плинтуса.",0
"Отношение ужасное, работа некачественная. Не советую никому!",0
"Абсолютное равнодушие к клиенту. Полнейший провал во всём.",0
"Крайне разочарован. Пришёл за простой услугой, а ушёл с кучей проблем. Персонал грубый, работать не умеют, сроки не соблюдают. Качество работы ужасное, пришлось переделывать в другом месте за свои деньги. Категорически не рекомендую связываться с этим местом!",0
"Отвратительный сервис! Начиная от хамского отношения сотрудников и заканчивая отвратительным качеством работы. Ни одной просьбы не выполнили корректно. Постоянные задержки, никакой обратной связи. Потратил время, деньги и получил только негатив.",0
"Никогда ещё не был так разочарован в сервисе. Работники грубые и непрофессиональные. Всё делали с ошибками, исправлять отказывались. Потратил кучу нервов, никакой компенсации за испорченную работу. Категорически не рекомендую.",0
"Качество работы ниже всяких ожиданий. Работали спустя рукава, игнорировали все мои замечания. Обещали одно, а на выходе я получил полное разочарование. Персонал абсолютно не заботится о клиентах. Ужасное место.",0
"Просто катастрофа! Приехал к назначенному времени, а мне сказали подождать «немного», в итоге прождал почти три часа. Никто даже не попытался извиниться. В итоге работу выполнили кое-как. Очень разочарован.",0
"Абсолютно безразличное отношение к клиентам. Сотрудники ведут себя так, будто делают одолжение. В процессе работы допустили массу ошибок, исправлять отказались. Очень неприятный опыт. Никогда больше сюда не обращусь.",0
"Отвратительная организация работы. Меня трижды переносили без предупреждения. Работу выполнили спустя рукава. Все сроки сорвали, отношение — хамское. Просто нет слов!",0
"Опыт ужасающий. Встретили с опозданием, объяснили всё путано, работу сделали некачественно. На жалобы ответили грубо. Потерял деньги, время и получил массу негатива. Никому не советую.",0
"Полная некомпетентность сотрудников. Испортили изделие, за которое я заплатил немаленькие деньги. Извинений не последовало, компенсации не предложили. Отвратительное отношение к клиентам.",0
"Самое ужасное обслуживание за весь мой опыт. Персонал грубый, организация нулевая. На мои замечания только раздражённо реагировали. Испортили весь день. Никому не рекомендую обращаться сюда!",0
